,Titulo,Director,Pais,Año,Genero,Duración (Minutos),Protagonistas,Idioma,Producción,Guion,Música,Fotografía,Vestuario,Productora,Presupuesto (Dólares),Recaudación (Dólares),Ganador,MF_Director,MF_Pais,MF_Genero,MF_Protagonistas,MF_Idioma,MF_Producción,MF_Guion,MF_Música,MF_Fotografía,MF_Vestuario,MF_Productora,st_Duración,st_Presupuesto,st_Recaudación
246,En cuerpo y alma,Ildikó Enyedi,Hungría,2017,Drama,116.0,"Géza Morcsányi, Alexandra Borbély, Zoltán Schneider, Ervin Nagy, Réka TenkiÉva Bata, Tamás Jordán, Itala Békés, Zsuzsa JáróPál Mácsai, Júlia Nyakó",Húngaro,"Ernő Mesterházy, András Muhi, Mónika Mécs",Ildikó Enyedi,Ádám Balázs,Máté Herbai,,Inforg-M&M Film,,,0,ildiko enyedi,hungria,drama,geza morcsanyi,hungaro,erno mesterhazy,ildiko enyedi,adam balazs,mate herbai,,inforg-m&m film,-0.06542132938195837,,
247,The square,Ruben Östlund,Suecia,2017,Drama,151.0,"Claes Bang, Elisabeth Moss, Dominic West, Terry Notary, Sofie Hamilton, Christopher LæssøJohan Jonason, Stefan Gödicke, Julia Sporre, John Nordling, Annica Liljeblad, Per Magnus Johansson, Daniel Hallberg, Marga Pettersson, Moa Enqvist Stefansdotter, Bo Melin",Inglés,"Erik Hemmendorff, Philippe Bober",Ruben Östlund,,Fredrik Wenzel,,,,,0,ruben ostlund,suecia,drama,claes bang,ingles,erik hemmendorff,ruben ostlund,,fredrik wenzel,,,0.9148874625161639,,
248,Roma,Alfonso Cuarón,México,2018,Drama,135.0,"Yalitza Aparicio, Marina de Tavira, Jorge Antonio Guerrero",Español,"Alfonso Cuarón, Gabriela Rodríguez, Nicolás Celis",Alfonso Cuarón,,"Alfonso Cuarón, Galo Olivares",,"Participant Media, Esperanto Filmoj",15000000.0,51000000.0,1,alfonso cuaron,mexico,drama,yalitza aparicio,espanol,alfonso cuaron,alfonso cuaron,,alfonso cuaron,,participant media,0.46674630050559374,-0.1349328674427962,-0.11963846630818374
249,Cafarnaúm,Nadine Labaki,Líbano,2018,Drama,123.0,"Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole",Árabe,"Michel Merkt, Khaled Mouzanar","Nadine Labaki, Jihad Hojaily  Michelle Keserwany  Georges Khabbaz  Khaled Mouzanar",Khaled Mouzanar,Christopher Aoun,,Mooz Films,4000000.0,68583867.0,0,nadine labaki,libano,drama,zain al,arabe,michel merkt,nadine labaki,khaled mouzanar,christopher aoun,,mooz films,0.1306404289976661,-0.13493684726654648,-0.1196378906578947
250,Cold War,Paweł Pawlikowski,Polonia,2018,Drama,84.0,"Joanna Kulig, Tomasz Kot, Jeanne Balibar, Cédric Kahn, Adam Woronowicz, Adam Ferency, Agata Kulesza, Borys Szyc, Adam Szyszkowski, Aleksandra Yermak, Slavko Sobin, Krzysztof Materna",Polaco,"Ewa Puszczyńska, Tanya Seghatchian","Janusz Głowacki, Paweł Pawlikowski, Piotr Borkowski",Marcin Masecki,Łukasz Żal,Aleksandra Staszko,Film4 Productions,,25000000.0,0,pawel pawlikowski,polonia,drama,joanna kulig,polaco,ewa puszczynska,janusz glowacki,marcin masecki,lukasz zal,aleksandra staszko,film4 productions,-0.9617036534030987,,-0.11963931748088172
251,Manbiki Kazoku,Hirokazu Koreeda,Japón,2018,Drama,121.0,"Lily Franky, Sakura Ando, Mayu Matsuoka, Sosuke Ikematsu, Naoto Ogata, Yoko Moriguchi, Yūki Yamada, Kirin Kiki, Moemi Katayama, Kengo Kora, Chizuru Ikewaki, Akira Emoto, Kairi JōMiyu Sasaki, Aju Makita, Yuki Yamada, Daisuke Kuroda, Izumi Matsuoka, Kazuaki Shimizu, Hajime Inoue, Katsuya Maiguma, Shinsuke Kasai, Mana Mikami",Japonés,"Matsuzaki Kaoru, Yose Akihiko, Taguchi Hijiri",Hirokazu Koreeda,Haruomi Hosono,Kondo Ryuto,,"Aoi Pro, Inc.",,22835787.0,0,hirokazu koreeda,japon,drama,lily franky,japones,matsuzaki kaoru,hirokazu koreeda,haruomi hosono,kondo ryuto,,aoi pro,0.07462278374634482,,-0.11963938833161318
252,Never Look Away,Florian Henckel von Donnersmarck,Alemania,2018,Drama,188.0,"Tom Schilling, Sebastian Koch, Paula Beer, Saskia Rosendahl, Ina Weisse, Oliver Masucci, Evgeny Sidikhin, Ulrike C. Tscharre, Hanno Koffler, Florian Bartholomäi, Hans Uwe Bauer, Cai Cohrs, Ben Becker, Antonia Bill, Rainer Bock, Jonas Dassler, Jacob Matschenz, Lars Eidinger, Johanna Gastdorf, Jeanette Hain, Franz Pätzold, Sebastian Rudolph, Hinnerk Schönemann, Eva Maria Jost, Jörg Schüttauf, David Schütter, Hannes Hellmann, Konstantin Frolov",Alemán,"Quirin Berg, Florian Henckel von Donnersmarck, Jan Mojto, Max Wiedemann",Florian Henckel von Donnersmarck,Max Richter,Caleb Deschanel,,CJ Entertainment,,4910420.0,0,florian henckel,alemania,drama,tom schilling,aleman,quirin berg,florian henckel,max richter,caleb deschanel,,cj entertainment,1.9512138996656074,,-0.11963997516172825
253,Gisaengchung,Bong Joon-ho,Corea del Sur,2019,Drama,132.0,"Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong, Choi Woo-shik, Park So-dam, Jung Ji-so",Coreano,"Bong Joon-ho, Kwak Sin-ae","Bong Joon-ho, Han Jin-won",Jeong Jae-il,Hong Kyung-pyo​,,Barunson E&ACJ Entertainment,13500000000.0,254088600.0,1,bong joon-ho,corea del,drama,song kang-ho,coreano,bong joon-ho,bong joon-ho,jeong jae-il,hong kyung-pyo ,,barunson e&acj,0.3827198326286118,-0.13005396532709196,-0.11963181771312255
254,Boże Ciało,Jan Komasa,Polonia,2019,Drama,115.0,"Bartosz Bielenia, Aleksandra Konieczna, Eliza Rycembel, Tomasz Ziętek, Barbara Kurzaj, Leszek LichotaŁukasz Simlat, Zdzisław Wardejn, Lidia Bogaczówna, Bogdan Brzyski, Juliusz Chrząstowski, Helena Norowicz, Dariusz Starczewski, Marta Waldera",Polaco,"Aneta Hickinbotham, Leszek Bodzak",Mateusz Pacewicz,"Evgueni Galperine, Sacha Galperine",Piotr Sobociński junior,Dorota Roqueplo,Aurum Film,,,0,jan komasa,polonia,drama,bartosz bielenia,polaco,aneta hickinbotham,mateusz pacewicz,evgueni galperine,piotr sobocinski,dorota roqueplo,aurum film,-0.093430152007619,,
255,Honeyland,Tamara Kotevska,Macedonia del Norte,2019,Documental,89.0,,Turco,"Ljubomir Stefanov, Atanas Georgiev",,Foltin,"Samir Ljuma, Fejmi Daut",,,,840083.0,0,tamara kotevska,macedonia del,documental,,turco,ljubomir stefanov,,foltin,samir ljuma,,,-0.8216595402747956,,-0.1196401084140254
256,Les Misérables,Ladj Ly,Francia,2019,Drama,103.0,"Damien Bonnard, Jeanne Balibar, Issa Perica",Francés,"Christophe Barral, Toufik Ayadi","Ladj Ly, Giordano Gederlini, Alexis Manenti",,Julien Poupard,,SRAB Films,,16819027.0,0,ladj ly,francia,drama,damien bonnard,frances,christophe barral,ladj ly,,julien poupard,,srab films,-0.42953602351554665,,-0.11963958530476096
257,Dolor y gloria,Pedro Almodóvar,España,2019,Drama,108.0,"Antonio Banderas, Asier Etxeandia, Julieta Serrano, Leonardo Sbaraglia, Nora Navas, Penélope Cruz, Cecilia Roth, Susi Sánchez, Julián López, Raúl Arévalo, Rosalía",Español,"Agustín Almodóvar, Esther García Rodríguez",Pedro Almodóvar,Alberto Iglesias,José Luis Alcaine Escaño,,El Deseo,,38080034.0,0,pedro almodovar,espana,drama,antonio banderas,espanol,agustin almodovar,pedro almodovar,alberto iglesias,jose luis,,el deseo,-0.2894919103872435,,-0.11963888927442674
258,Otra ronda,Thomas Vinterberg,Dinamarca,2020,Comedia,115.0,"Mads Mikkelsen, Thomas Bo Larsen, Magnus Millang, Lars Ranthe",Danés,"Sisse Graum Jørgensen, Kasper Dissing","Thomas Vinterberg, Tobias Lindholm",Janus Billeskov Jansen,Sturla Brandth Grøvlen,"Ellen Lens, Manon Rasmussen","Zentropa, Film i Väst, Topkapi Films",,,1,thomas vinterberg,dinamarca,comedia,mads mikkelsen,danes,sisse graum,thomas vinterberg,janus billeskov,sturla brandth,ellen lens,zentropa,-0.093430152007619,,
259,Better Days,Derek Tsang,Hong Kong,2020,"Bullying, Romance, Drama,Escuela, Psicológico",135.0,"Zhou Dongyu, Jackson Yee",Mandarín,Xu Yuezhen,"Lam Wing Sum, Li Yuan, Xu Yimeng",Varqa Buehrer,Yu Jing-Pin,,,,223924428.0,0,derek tsang,hong kong,romance,zhou dongyu,mandarin,xu yuezhen,lam wing,varqa buehrer,yu jing-pin,,,0.46674630050559374,,-0.1196328052100327
260,Colectiv,Alexander Nanau,Rumanía,2020,Documental,109.0,,Rumano,"Alexander Nanau, Bianca Oana, Bernard Michaux, Hanka Kastelicová","Alexander Nanau, Antoaneta Opriș",Kyan Bayani,Alexander Nanau,,"Alexander Nanau Production, Samsa Film Luxembourg, HBO Europe, Mitteldeutscher Rundfunk, Radio Télévision Suisse, Radiotelevisione svizzera di lingua italiana, YES Docu",,147875.0,0,alexander nanau,rumania,documental,,rumano,alexander nanau,alexander nanau,kyan bayani,alexander nanau,,alexander nanau,-0.26148308776158286,,-0.11964013107512352
261,El hombre que vendió su piel,Kaouther Ben Hania,Francia,2020,Drama,104.0,"Koen De Bouw, Christian Vadim, Monica Bellucci, Yahya Mahayni",Árabe,,Kaouther Ben Hania,,,,,,,0,kaouther ben,francia,drama,koen de,arabe,,kaouther ben,,,,,-0.401527200889886,,
262,"Quo Vadis, Aida?",Jasmila Žbanić,"Bosnia y Herzegovina, Austria, Alemania, Francia, Holanda, Noruega, Polonia, Rumania, Turquía",2020,Drama,101.0,"Jasna ĐuričićIzudin BajrovićBoris Ler, Boris IsakovićJohan Heldenbergh, Raymond Thiry, Emir HadžihafizbegovićMadita, Dino Bajrović","Bosnio, Inglés, Serbio, Neerlandés",Damir IbrahimovićJasmila Žbanić,Jasmila Žbanić,Antoni Łazarkiewicz,Christine A. Maier,,"Coop99Deblokada, Razor Film, Tordenfilm, Türkiye Radyo Televizyon Kurumu",35000000.0,,0,jasmila zbanic,bosnia y,drama,jasna duricicizudin,bosnio,damir ibrahimovicjasmila,jasmila zbanic,antoni lazarkiewicz,christine a.,,coop99deblokada,-0.48555366876686795,-0.13492563139961383,
263,Drive My Car,Ryūsuke Hamaguchi,Japón,2021,Drama,179.0,"Hidetoshi Nishijima, Tōko Miura, Reika Kirishima",Japonés,Teruhisa Yamamoto,"Ryūsuke Hamaguchi, Takamasa Oe",Eiko Ishibashi,Hidetoshi Shinomiya,,"C&I Entertainment, Culture Entertainment, Bitters End",,5293375.0,1,ryusuke hamaguchi,japon,drama,hidetoshi nishijima,japones,teruhisa yamamoto,ryusuke hamaguchi,eiko ishibashi,hidetoshi shinomiya,,c&i entertainment,1.6991344960346617,,-0.11963996262477285
264,Flee,Jonas Poher Rasmussen,"Estados Unidos, Reino Unido, Francia, Suecia, Noruega, Dinamarca",2021,Documental,90.0,,"Inglés, Danés","Monica Hellström, Signe Byrge Sørensen, Charlotte de La Gournerie","Jonas Poher Rasmussen, Amin",Uno Helmersson,,,"Vice Studios, Left Handed Films, RYOT Films, Final Cut for Real, Sun Creature Studio, Vivement Lundi, Most, Film, Mer, Film, Arte, Danish Film Institute, Swedish Film Institute, SVTNorwegian Film Institute, Nordisk Film & TV Fond, Copenhagen Film Fund, West Danish Film Fund, Creative Europe, Movistar Plus, I Wonder Pictures, CNCFritt Ord",,457956.0,0,jonas poher,estados unidos,documental,,ingles,monica hellstrom,jonas poher,uno helmersson,,,vice studios,-0.793650717649135,,-0.11964012092387423
265,Fue la mano de Dios,Paolo Sorrentino,Italia,2021,Drama,130.0,"Toni Servillo, Luisa Ranieri, Lino Musella",Italiano,,Paolo Sorrentino,Lele Marchitelli,Daria D'Antonio,Mariano Tufano,,,,0,paolo sorrentino,italia,drama,toni servillo,italiano,,paolo sorrentino,lele marchitelli,daria d'antonio,mariano tufano,,0.32670218737729056,,
266,Lunana: A Yak in the Classroom,Pawo Choyning Dorji,Bután,2021,Drama,109.0,"Sherab Dorji, Ugyen Norbu Lhendup, Kelden Lhamo Gurung, Kunzang Wangdi",Dzongkha,Pawo Choyning Dorji,Pawo Choyning Dorji,,Jigme Tenzing,,Dangphu Dingphu:a 3 pigs Production,,,0,pawo choyning,butan,drama,sherab dorji,dzongkha,pawo choyning,pawo choyning,,jigme tenzing,,dangphu dingphu:a,-0.26148308776158286,,
267,The Worst Person in the World,Joachim Trier,Noruega,2021,Comedia dramática,128.0,Anders Danielsen Lie,Noruego,"Andrea Berentsen Ottmar, Thomas Robsahm","Joachim Trier, Eskil Vogt",Ola Fløttum,Kasper Tuxen,,"Film i Väst, B-Reel Films",5000000.0,126000000.0,0,joachim trier,noruega,comedia dramatica,anders danielsen,noruego,andrea berentsen,joachim trier,ola flottum,kasper tuxen,,film i,0.27068454212596926,-0.13493648546438738,-0.11963601100232418
268,Sin novedad en el frente,Edward Berger,Alemania,2022,Acción,147.0,"Felix Kammerer, Albrecht Schuch, Aaron Hilmer, Edin HasanovićDaniel Brühl, Thibault de Montalembert, Devid Striesow",Alemán,"Malte Grunert, Daniel Dreifuss, Edward Berger, Thorsten Schumacher, Lesley Paterson, Ian Stokell","Edward Berger, Ian Stokell, Lesley Paterson",Volker Bertelmann,James Friend,Lisy Christl,Amusement Park Films  Sliding Down Rainbows Entertainmen,,,1,edward berger,alemania,accion,felix kammerer,aleman,malte grunert,edward berger,volker bertelmann,james friend,lisy christl,amusement park,0.8028521720135213,,
269,"Argentina, 1985",Santiago Mitre,"Argentina, Estados Unidos",2022,Drama histórico,140.0,"Ricardo Darín, Peter Lanzani",español,"Victoria Alonso, Santiago Carabante, Chino Darín, Ricardo Darín, Axel Kuschevatzky, Agustina Llambi-Campbell, Santiago Mitre, Federico Posternak, Cindy Teperman","Santiago Mitre, Mariano Llinás",Pedro Osuna,Javier Juliá,Mónica Toschi,"La Unión de los Ríos, Kenya Films, Infinity Hill",,,0,santiago mitre,argentina,drama historico,ricardo darin,espanol,victoria alonso,santiago mitre,pedro osuna,javier julia,monica toschi,la union,0.606790413633897,,
270,Close,Lukas Dhont,"Bélgica, Países Bajos, Francia",2022,Drama,105.0,"Eden Dambrine, Gustav de WaeleÉmilie Dequenne, Léa Drucker",Francés,"Dirk Impens, Michiel Dhont","Lukas Dhont, Angelo Tijssens",Valentin Hadjadj,Frank van den Eeden,,"Menuet, Diaphana Films, Topkapi Films, Versus Production",,,0,lukas dhont,belgica,drama,eden dambrine,frances,dirk impens,lukas dhont,valentin hadjadj,frank van,,menuet,-0.3735183782642254,,
271,EO,Jerzy Skolimowski,Polonia,2022,Drama,88.0,"Sandra Drzymalska, Lorenzo Zurzolo, Mateusz Kościukiewicz, Isabelle Huppert, Saverio Fabbri",Polaco,"Jerzy Skolimowski, Ewa Piaskowska","Jerzy Skolimowski, Ewa Piaskowska",Paweł Mykietyn,Michał Dymek,,"Skopia Film, Alien Films",,,0,jerzy skolimowski,polonia,drama,sandra drzymalska,polaco,jerzy skolimowski,jerzy skolimowski,pawel mykietyn,michal dymek,,skopia film,-0.8496683629004562,,
272,The Quiet Girl,Colm Bairéad,Irlanda,2022,Drama,95.0,"Catherine Clinch, Carrie Crowley, Michael Patric, Andrew Bennett, Kate Nic Chonaonaigh",Irlandés,,Colm Bairéad,,"Kate Mc, Cullough",,,,3303485.0,0,colm bairead,irlanda,drama,catherine clinch,irlandes,,colm bairead,,kate mc,,,-0.6536066045208317,,-0.11964002776862054
273,The Zone of Interest,Jonathan Glazer,Reino Unido,2023,Suspenso psicológico,105.0,"Sandra Hüller, Christian Friedel, Ralph Herforth, Daniel Holzberg, Sascha Maaz, Freya Kreutzkam, Imogen Kogge, Lilli Falk, Maximilian Beck, Medusa Knopf, Marie Rosa Tietjen, Stephanie Petrowitz","Alemán, Polaco, Yidis",Ewa Puszczyńska,Jonathan Glazer,Mica Levi,Łukasz Żal,,"A24_Film4 Productions, House Productions, Extreme Emotions",15000000.0,52798191.0,1,jonathan glazer,reino unido,suspenso psicologico,sandra huller,polaco,ewa puszczynska,jonathan glazer,mica levi,lukasz zal,,a24_film4 productions,-0.3735183782642254,-0.1349328674427962,-0.11963840744006508
274,Yo capitán,Matteo Garrone,Italia,2023,Drama,121.0,"Isaka Sawadogo, Affif Ben Badra, Hichem Yacoubi, Joseph Beddelem, Oumar Diaw, Mariam Kaba, Princess Erika, Cheikh Ndiaye",Francés,"Matteo Garrone, Joseph Rouschop, Ardavan Safaee, Paolo Del Brocco","Massimo Gaudioso, Matteo Garrone, Massimo Ceccherini, Andrea Tagliaferri",Andrea Farri,Paolo Carnera,,"Rai Cinema, Tarantula, Tarantula Belgique",,6452784.0,0,matteo garrone,italia,drama,isaka sawadogo,frances,matteo garrone,massimo gaudioso,andrea farri,paolo carnera,,rai cinema,0.07462278374634482,,-0.11963992466872336
275,Perfect Days,Wim Wenders,Japón,2023,Drama,123.0,"Kōji Yakusho, Tokio Emoto, Aoi Yamada, Yumi Asou, Sayuri Ishikawa, Tomokazu Miura, Min Tanaka, Morio Agata, Morooka Moro, Yoneko Matsukane",Japonés,"Kōji Yakusho, Wim Wenders","Takuma Takasaki, Wim Wenders",,Franz Lustig,,"Master Mind Limited, Wim Wenders Productions",,25631936.0,0,wim wenders,japon,drama,koji yakusho,japones,koji yakusho,takuma takasaki,,franz lustig,,master mind,0.1306404289976661,,-0.11963929679293286
276,La sociedad de la nieve,Juan Antonio Bayona,España,2023,Aventuras,144.0,"Enzo Vogrincic, Matías Recalt, Agustín Pardella, Felipe Otaño, Luciano Chatton, Valentino Alonso, Francisco Romero, Agustín Berruti, Andy Pruss Manuela Olivera, Simón Hempe, Juan Caruso",Español,"Belén Atienza, Sandra Hermida, J. A. Bayona","J. A. Bayona, Bernat Vilaplana, Jaime Marqués, Nicolás Casariego",Michael Giacchino,Pedro Luque,Julio Suárez,"Misión de Audaces Films, El Arriero Films, Netflix",60000000.0,,0,juan antonio,espana,aventuras,enzo vogrincic,espanol,belen atienza,j. a.,michael giacchino,pedro luque,julio suarez,mision de,0.7188257041365395,-0.13491658634563589,
277,La sala de profesores,İlker Çatak,Alemania,2023,Drama,99.0,"Leonie Benesch, Michael Klammer, Rafael Stachowiak, Anne-Kathrin Gummich, Eva Löbau, Kathrin Wehlisch, Sarah Bauerett, Lisa Marie Trense, Uygar TamerÖzgür Karadeniz",Alemán,Ingo Fliess,"İlker Çatak, Johannes Duncker",Marvin Miller,Judith Kaufmann,,"Arte, ZDF",,2844432.0,0,ilker catak,alemania,drama,leonie benesch,aleman,ingo fliess,ilker catak,marvin miller,judith kaufmann,,arte,-0.5415713140181893,,-0.11964004279682748
